ALPHA_THRESHOLD = 16
GROUND_CROP_EXTRA_BOTTOM = 0

逐文件处理结果：
nap_loop_0054.png | ground_y=234 | move_dy=2
nap_loop_0055.png | ground_y=234 | move_dy=2
nap_loop_0056.png | ground_y=234 | move_dy=2
nap_loop_0057.png | ground_y=234 | move_dy=2
nap_loop_0058.png | ground_y=234 | move_dy=2
nap_loop_0059.png | ground_y=234 | move_dy=2
nap_loop_0060.png | ground_y=234 | move_dy=2
nap_loop_0061.png | ground_y=234 | move_dy=2
nap_loop_0062.png | ground_y=234 | move_dy=2
nap_loop_0063.png | ground_y=234 | move_dy=2
nap_loop_0064.png | ground_y=234 | move_dy=2
nap_loop_0065.png | ground_y=234 | move_dy=2
nap_loop_0066.png | ground_y=234 | move_dy=2
nap_loop_0067.png | ground_y=234 | move_dy=2
nap_loop_0068.png | ground_y=234 | move_dy=2
nap_loop_0069.png | ground_y=234 | move_dy=2
nap_loop_0070.png | ground_y=234 | move_dy=2
nap_loop_0071.png | ground_y=234 | move_dy=2
nap_loop_0072.png | ground_y=234 | move_dy=2
nap_loop_0073.png | ground_y=234 | move_dy=2
nap_loop_0074.png | ground_y=234 | move_dy=2
nap_loop_0075.png | ground_y=234 | move_dy=2
nap_loop_0076.png | ground_y=234 | move_dy=2
nap_loop_0077.png | ground_y=234 | move_dy=2
nap_loop_0078.png | ground_y=234 | move_dy=2
nap_loop_0079.png | ground_y=234 | move_dy=2
nap_loop_0080.png | ground_y=234 | move_dy=2
nap_loop_0081.png | ground_y=234 | move_dy=2
nap_out_0000.png | ground_y=234 | move_dy=2
nap_out_0001.png | ground_y=234 | move_dy=2
nap_out_0002.png | ground_y=234 | move_dy=2
nap_out_0003.png | ground_y=234 | move_dy=2
nap_out_0004.png | ground_y=234 | move_dy=2
nap_out_0005.png | ground_y=234 | move_dy=2
nap_out_0006.png | ground_y=234 | move_dy=2
nap_out_0007.png | ground_y=234 | move_dy=2
nap_out_0008.png | ground_y=234 | move_dy=2
nap_out_0009.png | ground_y=234 | move_dy=2
nap_out_0010.png | ground_y=234 | move_dy=2
nap_out_0011.png | ground_y=234 | move_dy=2
nap_out_0012.png | ground_y=234 | move_dy=2
nap_out_0013.png | ground_y=234 | move_dy=2
nap_out_0014.png | ground_y=234 | move_dy=2
nap_out_0015.png | ground_y=234 | move_dy=2
nap_out_0016.png | ground_y=234 | move_dy=2
nap_out_0017.png | ground_y=234 | move_dy=2
nap_out_0018.png | ground_y=234 | move_dy=2
nap_out_0019.png | ground_y=234 | move_dy=2
nap_out_0020.png | ground_y=234 | move_dy=2
nap_out_0021.png | ground_y=234 | move_dy=2
nap_out_0022.png | ground_y=234 | move_dy=2
nap_out_0023.png | ground_y=234 | move_dy=2
nap_out_0024.png | ground_y=234 | move_dy=2
nap_out_0025.png | ground_y=234 | move_dy=2
nap_out_0026.png | ground_y=234 | move_dy=2
nap_out_0027.png | ground_y=234 | move_dy=2
nap_out_0028.png | ground_y=234 | move_dy=2
nap_out_0029.png | ground_y=234 | move_dy=2
nap_out_0030.png | ground_y=234 | move_dy=2
nap_out_0031.png | ground_y=234 | move_dy=2
nap_out_0032.png | ground_y=234 | move_dy=2
nap_out_0033.png | ground_y=234 | move_dy=2
nap_out_0034.png | ground_y=234 | move_dy=2
nap_out_0035.png | ground_y=234 | move_dy=2
nap_out_0036.png | ground_y=234 | move_dy=2
nap_out_0037.png | ground_y=234 | move_dy=2
nap_out_0038.png | ground_y=234 | move_dy=2
nap_out_0039.png | ground_y=234 | move_dy=2
nap_out_0040.png | ground_y=234 | move_dy=2
nap_out_0041.png | ground_y=234 | move_dy=2
nap_out_0042.png | ground_y=234 | move_dy=2
nap_out_0043.png | ground_y=234 | move_dy=2
nap_out_0044.png | ground_y=234 | move_dy=2
nap_out_0045.png | ground_y=234 | move_dy=2
nap_out_0046.png | ground_y=234 | move_dy=2
nap_out_0047.png | ground_y=234 | move_dy=2
nap_out_0048.png | ground_y=234 | move_dy=2
nap_out_0049.png | ground_y=234 | move_dy=2
nap_out_0050.png | ground_y=234 | move_dy=2
nap_out_0051.png | ground_y=234 | move_dy=2
nap_out_0052.png | ground_y=234 | move_dy=2
nap_out_0053.png | ground_y=234 | move_dy=2
nap_out_0054.png | ground_y=234 | move_dy=2
nap_out_0055.png | ground_y=234 | move_dy=2
nap_out_0056.png | ground_y=234 | move_dy=2
nap_out_0057.png | ground_y=234 | move_dy=2
nap_out_0058.png | ground_y=234 | move_dy=2
nap_out_0059.png | ground_y=234 | move_dy=2
nap_out_0060.png | ground_y=234 | move_dy=2
nap_out_0061.png | ground_y=234 | move_dy=2
nap_out_0062.png | ground_y=234 | move_dy=2
nap_out_0063.png | ground_y=234 | move_dy=2
nap_out_0064.png | ground_y=234 | move_dy=2
nap_out_0065.png | ground_y=234 | move_dy=2
nap_out_0066.png | ground_y=234 | move_dy=2
nap_out_0067.png | ground_y=234 | move_dy=2
nap_out_0068.png | ground_y=234 | move_dy=2
nap_out_0069.png | ground_y=234 | move_dy=2
nap_out_0070.png | ground_y=234 | move_dy=2
nap_out_0071.png | ground_y=234 | move_dy=2
nap_out_0072.png | ground_y=234 | move_dy=2
nap_out_0073.png | ground_y=234 | move_dy=2
nap_out_0074.png | ground_y=234 | move_dy=2
nap_out_0075.png | ground_y=234 | move_dy=2
nap_out_0076.png | ground_y=234 | move_dy=2
nap_out_0077.png | ground_y=234 | move_dy=2
nap_out_0078.png | ground_y=234 | move_dy=2
nap_out_0079.png | ground_y=234 | move_dy=2
nap_out_0080.png | ground_y=234 | move_dy=2
nap_out_0081.png | ground_y=234 | move_dy=2
nap_out_0082.png | ground_y=234 | move_dy=2
nap_out_0083.png | ground_y=234 | move_dy=2
nap_out_0084.png | ground_y=234 | move_dy=2
nap_out_0085.png | ground_y=234 | move_dy=2
nap_out_0086.png | ground_y=234 | move_dy=2
nap_out_0087.png | ground_y=234 | move_dy=2
nap_out_0088.png | ground_y=234 | move_dy=2
nap_out_0089.png | ground_y=234 | move_dy=2
